,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
4559,0741  033,166 LINCOLN RD,6/26/18,2018,6,2018-6,25000,1980,1470,17.00680272,33.493209,-84.608134,13113140203,West Fayette,POINT (-84.608134 33.493209)
5022,53205006,195 SUGARLAND TRL,9/11/19,2019,9,2019-9,50000,1992,2582,19.36483346,33.4661215,-84.4185181,13113140406,Fayetteville,POINT (-84.4185181 33.4661215)
9608,0545  029,521 HIGHWAY 314,6/6/19,2019,6,2019-6,52000,1979,1836,28.32244009,33.493037,-84.448994,13113140102,Fayetteville,POINT (-84.448994 33.493037)
5984,73106009,17 NORTHLAKE DR,7/17/18,2018,7,2018-7,60000,1972,1724,34.80278422,33.4072245,-84.5801523,13113140207,West Fayette,POINT (-84.5801523 33.4072245)
71,0526  031,303 COUNTY LINE RD,6/15/20,2020,6,2020-6,61200,1931,1712,35.74766355,33.444436,-84.4022258,13113140410,Fayetteville,POINT (-84.4022258 33.444436)
7383,52409039,190 NORTH HAMPTON,12/31/20,2020,12,2020-12,55000,1984,1460,37.67123288,33.4407123,-84.4388669,13113140410,Fayetteville,POINT (-84.4388669 33.4407123)
10368,52902029,866 HOOD RD,2/6/18,2018,2,2018-2,60000,1973,1586,37.83102144,33.4565827,-84.4903227,13113140404,Fayetteville,POINT (-84.4903227 33.4565827)
13540,55101010,209 KENWOOD RD,8/7/19,2019,8,2019-8,45000,1900,1176,38.26530612,33.5111889,-84.4387438,13113140104,Fayetteville,POINT (-84.4387438 33.5111889)
11396,0544  031,106 LONGVIEW RD,11/5/18,2018,11,2018-11,76000,1960,1919,39.6039604,33.4868838,-84.450392,13113140102,Fayetteville,POINT (-84.450392 33.4868838)
9583,55102002,115 AUSTIN DR,6/26/19,2019,6,2019-6,68618,1968,1688,40.65047393,33.5096214,-84.4392976,13113140102,Fayetteville,POINT (-84.4392976 33.5096214)
11479,54902035,285 FRANKLIN FARMS CIR,11/27/18,2018,11,2018-11,85137,1982,2072,41.08928571,33.5143797,-84.4701147,13113140104,Fayetteville,POINT (-84.4701147 33.5143797)
8405,51002065,260 GREENFIELD CIR,2/17/23,2023,2,2023-2,100000,1986,2431,41.13533525,33.4107878,-84.4590856,13113140405,Fayetteville,POINT (-84.4590856 33.4107878)
14659,53011001,225 TIMBERLANE DR,8/31/18,2018,8,2018-8,100000,1981,2410,41.49377593,33.4642784,-84.4621608,13113140403,Fayetteville,POINT (-84.4621608 33.4642784)
3670,50402008,115 CARROLLWOOD DR,7/8/22,2022,7,2022-7,87370,1979,2102,41.56517602,33.3967741,-84.4329524,13113140408,South Fayette,POINT (-84.4329524 33.3967741)
12029,0548  064,953 NEW HOPE RD,10/3/18,2018,10,2018-10,55000,1967,1318,41.72989378,33.511809,-84.490258,13113140104,Fayetteville,POINT (-84.490258 33.511809)
13541,55101013,203 KENWOOD RD,8/7/19,2019,8,2019-8,45000,1900,1056,42.61363636,33.5120099,-84.439066,13113140104,Fayetteville,POINT (-84.439066 33.5120099)
11955,0530  005,402 N JEFF DAVIS DR,10/26/18,2018,10,2018-10,68000,1961,1586,42.87515763,33.4554952,-84.4506818,13113140406,Fayetteville,POINT (-84.4506818 33.4554952)
6651,0522  013,20 BURCH RD,2/1/21,2021,2,2021-2,155000,1962,3533,43.8720634,33.4463918,-84.485466,13113140404,Fayetteville,POINT (-84.485466 33.4463918)
12146,0716  026,850 EBENEZER RD,10/28/19,2019,10,2019-10,119000,1977,2682,44.36987323,33.3896602,-84.5318603,13113140307,South Fayette,POINT (-84.5318603 33.3896602)
1434,0522  013,20 BURCH RD,2/14/20,2020,2,2020-2,157500,1962,3533,44.57967733,33.4463918,-84.485466,13113140404,Fayetteville,POINT (-84.485466 33.4463918)
