,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month
0,053710007,255 BRANDON MILL CIR,2020-05-29,317900.0,1984,3289,255 Brandon Mill Cir Fayette County GA,053710007-5/29/2020-317900.0,96.65551839464882,2020,2020,5,2020-5
1,0722  108,180 SWANSON RD,2020-06-22,544900.0,2019,3351,180 Swanson Rd Fayette County GA,0722  108-6/22/2020-544900.0,162.60817666368249,2020,2020,6,2020-6
2,074530001,637 TULIP POPLAR DR,2020-06-15,522955.0,2020,2405,637 Tulip Poplar Dr Fayette County GA,074530001-6/15/2020-522955.0,217.44490644490645,2020,2020,6,2020-6
3,073018014,300 ABERCORN SQ,2020-05-15,750000.0,1997,2968,300 Abercorn Sq Fayette County GA,073018014-5/15/2020-750000.0,252.6954177897574,2020,2020,5,2020-5
4,053022045,125 PARKSIDE DR,2020-06-08,241000.0,1995,1969,125 Parkside Dr Fayette County GA,053022045-6/8/2020-241000.0,122.397155916709,2020,2020,6,2020-6
5,071730009,1414 PENNFAIR DR,2020-05-21,459900.0,2000,3479,1414 Pennfair Dr Fayette County GA,071730009-5/21/2020-459900.0,132.19315895372233,2020,2020,5,2020-5
6,051717001,100 AMBERTON LN,2020-05-28,524668.0,2020,3968,100 Amberton Ln Fayette County GA,051717001-5/28/2020-524668.0,132.22479838709677,2020,2020,5,2020-5
7,073023004,115 COTTAGE GRV,2020-05-29,420000.0,1998,1789,115 Cottage Grv Fayette County GA,073023004-5/29/2020-420000.0,234.76802683063164,2020,2020,5,2020-5
8,060827028,1037 PINEHURST DR,2020-06-15,278000.0,1996,1432,1037 Pinehurst Dr Fayette County GA,060827028-6/15/2020-278000.0,194.1340782122905,2020,2020,6,2020-6
9,071601014,203 CAMP CRK,2020-06-19,487000.0,1974,2810,203 Camp Crk Fayette County GA,071601014-6/19/2020-487000.0,173.30960854092527,2020,2020,6,2020-6
10,054406010,195 JOANA DR,2020-06-08,220000.0,1987,1824,195 Joana Dr Fayette County GA,054406010-6/8/2020-220000.0,120.6140350877193,2020,2020,6,2020-6
11,060821031,300 BELLINGRATH CT,2020-06-15,502000.0,1990,3204,300 Bellingrath Ct Fayette County GA,060821031-6/15/2020-502000.0,156.67915106117354,2020,2020,6,2020-6
12,073454004,903 FRANKLIN RIDGE DR,2020-06-01,553000.0,2009,3893,903 Franklin Ridge Dr Fayette County GA,073454004-6/1/2020-553000.0,142.04983303365015,2020,2020,6,2020-6
